timestamp,axis1,axis2,axis3,sadeh,cole-kripke
2012-06-27T12:59:00Z,0,61,31,W,S
2012-06-27T13:00:00Z,204,157,196,W,W
2012-06-27T13:01:00Z,0,0,0,W,W
2012-06-27T13:02:00Z,182,195,237,W,W
2012-06-27T13:03:00Z,2537,1945,2824,W,W
2012-06-27T13:04:00Z,0,32,77,W,W
2012-06-27T13:05:00Z,0,111,66,W,W
2012-06-27T13:06:00Z,112,254,232,W,W
2012-06-27T13:07:00Z,160,181,499,W,W
2012-06-27T13:08:00Z,234,291,480,W,S
2012-06-27T13:09:00Z,0,79,152,W,S
2012-06-27T13:10:00Z,78,71,243,W,S
2012-06-27T13:11:00Z,6,24,9,W,S
2012-06-27T13:12:00Z,0,0,5,W,S
2012-06-27T13:13:00Z,53,79,69,W,W
2012-06-27T13:14:00Z,96,264,180,W,W
2012-06-27T13:15:00Z,3018,2268,2584,W,W
2012-06-27T13:16:00Z,718,895,1016,W,W
2012-06-27T13:17:00Z,3860,2766,3901,W,W
2012-06-27T13:18:00Z,0,0,0,W,W
2012-06-27T13:19:00Z,33,76,112,W,W
2012-06-27T13:20:00Z,38,97,44,W,W
2012-06-27T13:21:00Z,0,17,6,W,W
2012-06-27T13:22:00Z,0,5,0,W,W
2012-06-27T13:23:00Z,0,0,0,S,W
2012-06-27T13:24:00Z,2537,1865,2534,W,W
2012-06-27T13:25:00Z,54,315,258,W,W
2012-06-27T13:26:00Z,1054,722,1065,W,W
2012-06-27T13:27:00Z,6,51,46,W,W
2012-06-27T13:28:00Z,675,514,318,W,W
2012-06-27T13:29:00Z,1233,1094,1193,W,W
2012-06-27T13:30:00Z,2430,1786,1892,W,W
2012-06-27T13:31:00Z,47,145,144,W,W
2012-06-27T13:32:00Z,26,47,64,W,W
2012-06-27T13:33:00Z,0,11,22,W,W
2012-06-27T13:34:00Z,1087,978,1036,W,W
2012-06-27T13:35:00Z,918,802,1216,W,W
2012-06-27T13:36:00Z,0,0,0,W,W
2012-06-27T13:37:00Z,475,492,877,W,W
2012-06-27T13:38:00Z,347,372,580,W,W
2012-06-27T13:39:00Z,116,149,203,W,W
2012-06-27T13:40:00Z,0,106,56,W,S
2012-06-27T13:41:00Z,0,7,0,W,S
2012-06-27T13:42:00Z,181,264,184,W,W
2012-06-27T13:43:00Z,95,68,184,W,S
2012-06-27T13:44:00Z,144,203,229,W,S
2012-06-27T13:45:00Z,88,167,168,W,S
2012-06-27T13:46:00Z,0,0,0,S,S
2012-06-27T13:47:00Z,0,0,0,S,S
2012-06-27T13:48:00Z,0,0,0,S,S
2012-06-27T13:49:00Z,0,0,0,S,S
2012-06-27T13:50:00Z,0,0,0,S,S
2012-06-27T13:51:00Z,0,0,0,S,S
2012-06-27T13:52:00Z,36,106,56,S,W
2012-06-27T13:53:00Z,6,40,20,S,W
2012-06-27T13:54:00Z,3332,2096,3091,W,W
2012-06-27T13:55:00Z,82,186,179,W,W
2012-06-27T13:56:00Z,1447,916,1391,W,W
2012-06-27T13:57:00Z,2296,1821,2319,W,W
2012-06-27T13:58:00Z,183,168,409,W,W
2012-06-27T13:59:00Z,46,162,49,W,W
2012-06-27T14:00:00Z,522,410,447,W,W
2012-06-27T14:01:00Z,20,49,30,W,W
2012-06-27T14:02:00Z,0,5,0,W,S
2012-06-27T14:03:00Z,271,440,378,W,W
2012-06-27T14:04:00Z,87,109,150,W,W
2012-06-27T14:05:00Z,52,470,346,W,S
2012-06-27T14:06:00Z,113,418,223,W,S
2012-06-27T14:07:00Z,115,228,248,W,S
2012-06-27T14:08:00Z,45,146,370,W,S
2012-06-27T14:09:00Z,62,245,144,W,S
2012-06-27T14:10:00Z,184,503,507,W,S
2012-06-27T14:11:00Z,231,308,248,W,S
2012-06-27T14:12:00Z,0,0,0,S,S
2012-06-27T14:13:00Z,0,0,6,S,S
2012-06-27T14:14:00Z,0,9,31,S,S
2012-06-27T14:15:00Z,130,269,292,W,S
2012-06-27T14:16:00Z,0,0,0,S,S
2012-06-27T14:17:00Z,39,24,41,S,S
2012-06-27T14:18:00Z,0,0,0,S,S
2012-06-27T14:19:00Z,0,0,0,S,S
2012-06-27T14:20:00Z,358,604,417,W,S
2012-06-27T14:21:00Z,33,178,176,W,W
2012-06-27T14:22:00Z,100,233,187,W,W
2012-06-27T14:23:00Z,2009,1837,2574,W,W
2012-06-27T14:24:00Z,45,101,143,W,W
2012-06-27T14:25:00Z,104,32,75,W,W
2012-06-27T14:26:00Z,0,1,0,W,W
2012-06-27T14:27:00Z,0,0,0,W,W
2012-06-27T14:28:00Z,121,361,159,W,S
2012-06-27T14:29:00Z,82,203,247,W,S
2012-06-27T14:30:00Z,118,375,308,W,S
2012-06-27T14:31:00Z,101,214,326,W,W
2012-06-27T14:32:00Z,350,550,770,W,W
2012-06-27T14:33:00Z,2129,1906,2619,W,W
2012-06-27T14:34:00Z,882,662,939,W,W
2012-06-27T14:35:00Z,2411,2220,3293,W,W
2012-06-27T14:36:00Z,2111,1777,2307,W,W
2012-06-27T14:37:00Z,3706,2462,3327,W,W
2012-06-27T14:38:00Z,2784,2508,2634,W,W
2012-06-27T14:39:00Z,62,89,41,W,W
2012-06-27T14:40:00Z,3513,2285,3248,W,W
2012-06-27T14:41:00Z,923,945,1420,W,W
2012-06-27T14:42:00Z,0,0,0,W,W
2012-06-27T14:43:00Z,19,39,349,W,W
2012-06-27T14:44:00Z,0,2,0,W,W
2012-06-27T14:45:00Z,188,309,422,W,W
2012-06-27T14:46:00Z,0,126,36,W,S
2012-06-27T14:47:00Z,224,382,513,W,S
2012-06-27T14:48:00Z,0,0,0,W,S
2012-06-27T14:49:00Z,0,0,0,W,S
2012-06-27T14:50:00Z,126,273,186,W,S
2012-06-27T14:51:00Z,27,215,190,W,S
2012-06-27T14:52:00Z,165,77,232,W,S
2012-06-27T14:53:00Z,348,438,485,W,W
2012-06-27T14:54:00Z,0,6,26,S,S
2012-06-27T14:55:00Z,0,0,7,S,S
2012-06-27T14:56:00Z,30,140,83,W,S
2012-06-27T14:57:00Z,0,0,0,S,S
2012-06-27T14:58:00Z,24,135,79,W,S
2012-06-27T14:59:00Z,0,4,9,S,S
2012-06-27T15:00:00Z,9,42,32,S,S
2012-06-27T15:01:00Z,0,20,17,S,S
2012-06-27T15:02:00Z,193,343,362,S,S
2012-06-27T15:03:00Z,74,73,270,S,S
2012-06-27T15:04:00Z,0,0,0,S,S
2012-06-27T15:05:00Z,0,216,101,S,S
2012-06-27T15:06:00Z,0,18,8,S,S
2012-06-27T15:07:00Z,0,20,9,S,S
2012-06-27T15:08:00Z,0,0,0,S,S
2012-06-27T15:09:00Z,116,70,173,S,S
2012-06-27T15:10:00Z,4,36,6,S,S
2012-06-27T15:11:00Z,0,12,4,S,S
2012-06-27T15:12:00Z,0,0,0,S,S
2012-06-27T15:13:00Z,116,291,216,W,S
2012-06-27T15:14:00Z,133,480,355,W,S
2012-06-27T15:15:00Z,129,133,79,W,S
2012-06-27T15:16:00Z,80,208,77,W,S
2012-06-27T15:17:00Z,59,379,108,W,S
2012-06-27T15:18:00Z,451,279,426,W,W
2012-06-27T15:19:00Z,0,41,17,W,S
2012-06-27T15:20:00Z,0,0,0,W,S
2012-06-27T15:21:00Z,125,147,138,W,S
2012-06-27T15:22:00Z,352,436,741,W,W
2012-06-27T15:23:00Z,80,326,766,W,S
2012-06-27T15:24:00Z,68,131,180,W,S
2012-06-27T15:25:00Z,21,121,183,W,S
2012-06-27T15:26:00Z,0,15,11,W,S
2012-06-27T15:27:00Z,0,0,1,W,S
2012-06-27T15:28:00Z,41,58,39,S,S
2012-06-27T15:29:00Z,0,44,7,S,S
2012-06-27T15:30:00Z,26,241,31,S,S
2012-06-27T15:31:00Z,63,107,41,S,S
2012-06-27T15:32:00Z,0,42,19,S,S
2012-06-27T15:33:00Z,118,66,122,W,S
2012-06-27T15:34:00Z,84,87,56,W,S
2012-06-27T15:35:00Z,140,454,212,W,S
2012-06-27T15:36:00Z,187,678,432,W,S
2012-06-27T15:37:00Z,87,144,255,W,S
2012-06-27T15:38:00Z,153,498,110,W,S
2012-06-27T15:39:00Z,55,69,385,W,S
2012-06-27T15:40:00Z,11,36,63,W,W
2012-06-27T15:41:00Z,239,392,773,W,W
2012-06-27T15:42:00Z,3850,2785,3820,W,W
2012-06-27T15:43:00Z,2653,1852,2648,W,W
2012-06-27T15:44:00Z,51,292,201,W,W
2012-06-27T15:45:00Z,3868,2365,3402,W,W
2012-06-27T15:46:00Z,574,552,890,W,W
2012-06-27T15:47:00Z,0,17,384,W,W
2012-06-27T15:48:00Z,27,80,25,W,W
2012-06-27T15:49:00Z,25,34,68,W,W
2012-06-27T15:50:00Z,2,74,3,W,S
2012-06-27T15:51:00Z,1,38,26,W,S
2012-06-27T15:52:00Z,51,36,81,W,S
2012-06-27T15:53:00Z,68,112,173,W,S
